BIDGBPUSD;BIDUSDJPY;ASKGBPJPY
1.2504;101.79;127.32
1.2503;101.79;127.327
1.2503;101.79;127.324
1.2503;101.8;127.331
1.2503;101.79;127.323
1.2502;101.79;127.319
1.2502;101.79;127.328
1.2502;101.79;127.329
1.2502;101.79;127.329
1.2502;101.79;127.327
1.2502;101.79;127.326
1.2502;101.8;127.331
1.2502;101.81;127.346
1.2502;101.81;127.346
1.2502;101.8;127.34
1.2502;101.8;127.33
1.2502;101.78;127.316
1.2502;101.78;127.312
1.2503;101.78;127.311
1.2503;101.77;127.303
1.2502;101.77;127.299
1.2502;101.78;127.305
1.2502;101.77;127.301
1.2502;101.78;127.3
1.2502;101.78;127.31
1.2502;101.78;127.31
1.2502;101.79;127.312
1.2502;101.79;127.311
1.2502;101.79;127.314
1.2502;101.79;127.309
1.2502;101.79;127.309
1.2501;101.81;127.338
1.2501;101.81;127.345
1.2501;101.82;127.334
1.2501;101.8;127.313
1.2501;101.8;127.312
1.2499;101.8;127.289
1.2499;101.81;127.307
1.2499;101.8;127.299
1.2499;101.8;127.29
1.2499;101.78;127.277
1.2499;101.79;127.282
1.25;101.8;127.298
1.2499;101.81;127.307
1.2499;101.81;127.311
1.2499;101.82;127.312
1.2497;101.82;127.294
1.2497;101.81;127.283
1.2497;101.8;127.271
1.2497;101.81;127.273
1.2497;101.81;127.272
1.2497;101.81;127.28
1.2497;101.81;127.272
1.2497;101.82;127.292
1.2497;101.81;127.289
1.2497;101.8;127.28
1.2497;101.8;127.283
1.2497;101.81;127.283
1.2497;101.81;127.292
1.2497;101.82;127.297
1.2497;101.82;127.297
1.2497;101.82;127.297
1.2497;101.82;127.299
1.2497;101.82;127.302
1.2497;101.82;127.301
1.2498;101.82;127.3
1.2498;101.82;127.295
1.2498;101.82;127.3
1.2497;101.81;127.287
1.2497;101.8;127.284
1.2497;101.81;127.282
1.2497;101.81;127.283
1.2497;101.82;127.298
1.2497;101.82;127.297
1.2497;101.82;127.297
1.2497;101.82;127.293
1.2497;101.81;127.29
1.2497;101.82;127.297
1.2497;101.82;127.298
1.2497;101.82;127.299
1.2497;101.84;127.318
1.2497;101.83;127.314
1.2496;101.84;127.302
1.2493;101.87;127.31
1.2493;101.84;127.279
1.2493;101.84;127.291
1.2493;101.86;127.311
1.2493;101.86;127.316
1.2493;101.86;127.318
1.2493;101.86;127.31
1.2493;101.85;127.302
1.2493;101.85;127.303
